n_index,p_index,a1,a2,a3,a4,a5,Fy,Fx,Fz,Ty,Tx,Tz
6,0,128.0,632.0,778.0,725.0,106.0,-0.06584000000008199,2.7951999999987187,-0.19712000000388907,-0.2608510000000662,0.0021315999998640926,-0.0012119899999996483
6,1,128.0,591.0,749.0,714.0,106.0,-0.061840000000082024,2.4761999999987134,-0.03812000000388587,-0.22751100000006688,0.00031159999986407415,-0.0003409899999996484
6,2,126.0,550.0,727.0,706.0,105.0,-0.047840000000081644,2.445199999998714,0.23187999999610726,-0.22213100000006644,0.003931599999864081,-0.0006269899999996472
6,3,128.0,537.0,708.0,702.0,105.0,-0.05484000000008195,2.235199999998717,0.11687999999612303,-0.20701100000006628,0.0029715999998641044,0.00030901000000035087
6,4,125.0,538.0,645.0,680.0,104.0,-0.07084000000008205,2.441199999998714,0.5228799999961236,-0.2254710000000663,0.002631599999864058,0.00017901000000035113
6,5,126.0,495.0,447.0,637.0,104.0,-0.07984000000008239,2.317199999998718,0.6858799999961195,-0.2172910000000665,-0.0003684000001359356,-0.0005619899999996485
6,6,128.0,344.0,267.0,520.0,104.0,-0.0988400000000823,2.387199999998718,0.6428799999961148,-0.21927100000006655,-0.0006284000001359211,-0.0005099899999996488
6,7,130.0,224.0,252.0,395.0,105.0,-0.13684000000008192,2.2361999999987145,0.3698799999961069,-0.19603100000006626,-0.005608400000135909,-0.0010559899999996489
6,8,132.0,146.0,178.0,268.0,106.0,-0.15284000000008166,2.4481999999987147,-0.008120000003902998,-0.2075510000000663,-0.008068400000135941,-0.0019139899999996515
6,9,134.0,135.0,171.0,248.0,107.0,-0.18084000000008169,2.443199999998714,-0.35712000000389166,-0.196471000000066,-0.007328400000135935,-0.0017449899999996508
6,10,136.0,107.0,115.0,223.0,107.0,-0.12784000000008197,2.4311999999987153,-0.4371200000038726,-0.18833100000006622,-0.007708400000135942,-0.0010689899999996486
